item_id,id,category,sold,old_len,new_len,changed,old_title,new_title,url
406174659709,68b37c3c7f842afd2cd73760,Safety Vests & Life Preservers,3,166,73,1,"Dog Life Jacket, Ripstop American Flag Dog Life Vest for Swimming Boating, Shark Puppy Lifesaver with High Buoyancy Swimsuit for Small Medium and Large Dogs (X-Small)","Dog Life Jacket, Ripstop American Flag Dog Life Vest for Swimming Boating",https://www.ebay.com/itm/Dog-Life-Jacket-Ripstop-American-Flag-Dog-Life-Vest-Swimming-Boating-Shark-/406174659709
407068150883,6a53de7d9efaa836e0ffe4ef,Food Storage Bags,0,199,72,1,"Reusable Cotton Mesh Produce Bags - 100% Organic Cotton, Durable, Double Stitched, Washable with Tare Weight & Drawstring - Mesh Bags for Grocery Shopping, Vegetables & Fruits | Set of 6 (2L, 2M, 2S)","Reusable Cotton Mesh Produce Bags - 100% Organic Cotton, Durable, Double",https://www.ebay.com/itm/Reusable-Cotton-Mesh-Produce-Bags-100-Organic-Cotton-Durable-Double-Stitche-/407068150883
407048710505,6a4975596eba6d52434db34e,Landscape & Walkway Lights,0,196,78,1,"Dusk to Dawn Outdoor Post Light Hardwired 120V, Waterproof Aluminum Pole Light Fixture with Pier Mount Base, Exterior Lamp Post Lantern Head with Clear Glass for Garden Yard Patio Pathway (6 Inch)","Dusk to Dawn Outdoor Post Light Hardwired 120V, Waterproof Aluminum Pole Light",https://www.ebay.com/itm/Dusk-Dawn-Outdoor-Post-Light-Hardwired-120V-Waterproof-Aluminum-Pole-Light-F-/407048710505
407048708411,6a4974ed7d7628dc88347603,Mats & Non-Slip Towels,0,193,76,1,"Large Yoga Mat 6'X4'/6'X6'/7'X5'(7Mm/9Mm), Extra Thick Workout Mats for Home Gym Flooring,Ultra Comfortable Non-Slip Quick Resilient Barefoot Wide Exercise Mat for Pilates,Stretching,Meditation","Large Yoga Mat 6'X4'/6'X6'/7'X5'(7Mm/9Mm), Extra Thick Workout Mats for Home",https://www.ebay.com/itm/Large-Yoga-Mat-6X4-6X6-7X5-7Mm-9Mm-Extra-Thick-Workout-Mats-Home-Gym-/407048708411
407049367069,6a49f27391b2265e97d190af,Blankets,0,189,78,1,"Waterproof Dog Blanket for Couch, Pee Proof Sherpa Fleece Reversible Pet Throw, Furniture Protector for Bed Sofa Kennel, Soft Washable Cover for Small Medium Dog Puppy Cat, 29X40 Plaid Blue","Waterproof Dog Blanket for Couch, Pee Proof Sherpa Fleece Reversible Pet Throw",https://www.ebay.com/itm/Waterproof-Dog-Blanket-Couch-Pee-Proof-Sherpa-Fleece-Reversible-Pet-Throw-/407049367069
407068159776,6a53e0df2f9bc2eac3cc0e6b,Cleaning Towels & Cloths,0,182,73,1,"Microfiber Cleaning Cloth - Pack of 8, Size: 12 X 16 In, Multi-Functional Cleaning Towels, Highly Absorbent Cleaning Rags, Lint-Free, Streak-Free Cleaning Cloths for Car Kitchen Home","Microfiber Cleaning Cloth - Pack of 8, Size: 12 X 16 In, Multi-Functional",https://www.ebay.com/itm/Microfiber-Cleaning-Cloth-Pack-8-Size-12-X-16-In-Multi-Functional-Cleani-/407068159776
407047329249,6a48ab0aacc6e3c2df0a221e,Dental Floss & Flossers,0,182,79,1,"Corn Starch Natural Dental Floss Picks - 200 Count - Mint | Mint Flavored Vegan Flossers. BPA Free, PETA Approved. Plant-Based 3-Inch Picks for Interdental Cleaning and Fresh Breath.",Corn Starch Natural Dental Floss Picks - 200 Count - Mint | Mint Flavored Vegan,https://www.ebay.com/itm/Corn-Starch-Natural-Dental-Floss-Picks-200-Count-Mint-Mint-Flavored-Vegan-/407047329249
407068158650,6a53e009d9f42a88ca591ec5,Storage Bags,0,176,66,1,"ALL INCLUDED - 12 Set Packing Cubes for Suitcases Carry On, Travel Essentials/Accessories Luggage Organizer Bags Set, Includes Cubes, Shoes Bag, Matte Cosmetic Bag, Zipper Bags","ALL INCLUDED - 12 Set Packing Cubes for Suitcases Carry On, Travel",https://www.ebay.com/itm/ALL-INCLUDED-12-Set-Packing-Cubes-Suitcases-Carry-On-Travel-Essentials-Ac-/407068158650
407049373195,6a49f3b591b2265e97d190be,"Brushes, Combs & Rakes",0,172,66,1,"Mark VIII round Head Slicker Brush for Dogs, 12Mm Pins, Groom like a Pro, Handcrafted Lightweight Beechwood Ergonomic Handle, Stainless Steel Pins, A5VIII. Made in Germany.","Mark VIII round Head Slicker Brush for Dogs, 12Mm Pins, Groom like",https://www.ebay.com/itm/Mark-VIII-round-Head-Slicker-Brush-Dogs-12Mm-Pins-Groom-like-Pro-Handcr-/407049373195
407049363866,6a49f17199512666b3fbcbb2,Mattress Pads & Covers,0,160,76,1,"Waterproof Crib Mattress Protector 27"" X 38"", Non-Slip & Sturdy Mattress Pad Mat, 4 Layers Incontinence Bed Pad for Children Adults, Pets Training Pee Pad, Grey","Waterproof Crib Mattress Protector 27"" X 38"", Non-Slip & Sturdy Mattress Pad",https://www.ebay.com/itm/Waterproof-Crib-Mattress-Protector-27-X-38-Non-Slip-Sturdy-Mattress-Pad-Mat-/407049363866
